2022-04-18 14:26:51.104 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-18 14:26:51.221 +08:00 [INF] Starting default Dispatcher
2022-04-18 14:26:51.301 +08:00 [INF] Starting the processing server.
2022-04-18 14:26:51.320 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-oi4Ime07fmecXfScOCU82g
2022-04-18 14:26:51.347 +08:00 [INF] ### CAP started!
2022-04-18 14:26:51.354 +08:00 [INF] Loaded ABP modules:
2022-04-18 14:26:51.355 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-18 14:26:51.356 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-18 14:26:51.443 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-04-18 14:26:51.447 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-04-18 14:26:51.448 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-04-18 14:26:51.448 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2022-04-18 14:26:51.449 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2022-04-18 14:26:51.450 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2022-04-18 14:26:51.451 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2022-04-18 14:26:51.451 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2022-04-18 14:26:51.452 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2022-04-18 14:26:51.453 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2022-04-18 14:26:51.454 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2022-04-18 14:26:51.454 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2022-04-18 14:26:51.455 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
2022-04-18 14:26:51.456 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2022-04-18 14:26:51.457 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2022-04-18 14:26:51.457 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2022-04-18 14:26:51.458 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2022-04-18 14:26:51.461 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2022-04-18 14:26:51.462 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
2022-04-18 14:26:51.463 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2022-04-18 14:26:51.464 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2022-04-18 14:26:51.465 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2022-04-18 14:26:51.469 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2022-04-18 14:26:51.474 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
