2022-03-04 23:04:30.707 +08:00 [INF] Starting default Dispatcher
2022-03-04 23:04:30.763 +08:00 [INF] Starting the processing server.
2022-03-04 23:04:30.765 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-03-04 23:04:30.766 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-03-04 23:04:30.766 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-03-04 23:04:30.778 +08:00 [INF] ### CAP started!
2022-03-04 23:04:30.786 +08:00 [INF] Loaded ABP modules:
2022-03-04 23:04:30.787 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-03-04 23:04:30.789 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-03-04 23:04:30.790 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-03-04 23:04:30.791 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-03-04 23:04:30.792 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-03-04 23:04:30.793 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-03-04 23:04:30.793 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-03-04 23:04:30.794 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-03-04 23:04:30.795 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-03-04 23:04:30.796 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-03-04 23:04:30.797 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-03-04 23:04:30.798 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
