2022-04-29 17:44:43.116 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:43.265 +08:00 [INF] Starting default Dispatcher
2022-04-29 17:44:43.411 +08:00 [INF] Starting the processing server.
2022-04-29 17:44:43.445 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-KgJLq5uj1udx54HbQpllTw
2022-04-29 17:44:43.476 +08:00 [INF] ### CAP started!
2022-04-29 17:44:43.486 +08:00 [INF] Loaded ABP modules:
2022-04-29 17:44:43.488 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-29 17:44:43.489 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-29 17:44:43.580 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2022-04-29 17:44:43.581 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2022-04-29 17:44:43.582 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2022-04-29 17:44:43.583 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2022-04-29 17:44:43.584 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2022-04-29 17:44:43.586 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2022-04-29 17:44:43.590 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2022-04-29 17:44:43.593 +08:00 [INF]           - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2022-04-29 17:44:43.594 +08:00 [INF]             - Volo.Abp.UI.AbpUiModule
2022-04-29 17:44:43.595 +08:00 [INF]           - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2022-04-29 17:44:43.596 +08:00 [INF]           - Volo.Abp.Application.AbpDddApplicationModule
2022-04-29 17:44:43.598 +08:00 [INF]             - Volo.Abp.Domain.AbpDddDomainModule
2022-04-29 17:44:43.601 +08:00 [INF]               - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2022-04-29 17:44:43.604 +08:00 [INF]               - Volo.Abp.Specifications.AbpSpecificationsModule
2022-04-29 17:44:43.605 +08:00 [INF]     - Volo.Abp.PermissionManagement.HttpApi.AbpPermissionManagementHttpApiModule
2022-04-29 17:44:43.606 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementHttpApiModule
2022-04-29 17:44:43.607 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementHttpApiModule
2022-04-29 17:44:43.608 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementHttpApiModule
2022-04-29 17:44:43.609 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementHttpApiModule
2022-04-29 17:44:43.610 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-04-29 17:44:43.611 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-04-29 17:44:43.612 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-04-29 17:44:43.613 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-04-29 17:44:43.614 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-04-29 17:44:43.614 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-04-29 17:44:43.615 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-04-29 17:44:43.616 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-04-29 17:44:43.617 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-04-29 17:44:43.621 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-04-29 17:44:43.622 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-04-29 17:44:43.622 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2022-04-29 17:44:43.623 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2022-04-29 17:44:43.624 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
