2022-03-07 23:02:57.663 +08:00 [INF] Starting default Dispatcher
2022-03-07 23:02:57.721 +08:00 [INF] Starting the processing server.
2022-03-07 23:02:57.722 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-03-07 23:02:57.723 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-03-07 23:02:57.724 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-03-07 23:02:57.735 +08:00 [INF] ### CAP started!
2022-03-07 23:02:57.755 +08:00 [INF] Loaded ABP modules:
2022-03-07 23:02:57.755 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-03-07 23:02:57.756 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-03-07 23:02:57.801 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2022-03-07 23:02:57.802 +08:00 [INF]           - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2022-03-07 23:02:57.803 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2022-03-07 23:02:57.804 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2022-03-07 23:02:57.804 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2022-03-07 23:02:57.805 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2022-03-07 23:02:57.806 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2022-03-07 23:02:57.807 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2022-03-07 23:02:57.808 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2022-03-07 23:02:57.809 +08:00 [INF]           - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2022-03-07 23:02:57.809 +08:00 [INF]             - Volo.Abp.UI.AbpUiModule
2022-03-07 23:02:57.810 +08:00 [INF]           - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2022-03-07 23:02:57.811 +08:00 [INF]           - Volo.Abp.Application.AbpDddApplicationModule
2022-03-07 23:02:57.811 +08:00 [INF]             - Volo.Abp.Domain.AbpDddDomainModule
2022-03-07 23:02:57.812 +08:00 [INF]               - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2022-03-07 23:02:57.814 +08:00 [INF]               - Volo.Abp.Specifications.AbpSpecificationsModule
2022-03-07 23:02:57.816 +08:00 [INF]     - Volo.Abp.PermissionManagement.HttpApi.AbpPermissionManagementHttpApiModule
2022-03-07 23:02:57.816 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementHttpApiModule
2022-03-07 23:02:57.817 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementHttpApiModule
2022-03-07 23:02:57.818 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementHttpApiModule
2022-03-07 23:02:57.818 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementHttpApiModule
2022-03-07 23:02:57.819 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-03-07 23:02:57.820 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-03-07 23:02:57.821 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-03-07 23:02:57.821 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-03-07 23:02:57.822 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-03-07 23:02:57.823 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-03-07 23:02:57.823 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-03-07 23:02:57.824 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-03-07 23:02:57.825 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-03-07 23:02:57.826 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-03-07 23:02:57.826 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-03-07 23:02:57.827 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2022-03-07 23:02:57.828 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2022-03-07 23:02:57.828 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
2022-03-07 23:02:57.829 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2022-03-07 23:02:57.832 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2022-03-07 23:02:57.833 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2022-03-07 23:02:57.834 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-03-07 23:02:57.835 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-03-07 23:02:57.835 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-03-07 23:02:57.836 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2022-03-07 23:02:57.837 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2022-03-07 23:02:57.838 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2022-03-07 23:02:57.838 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2022-03-07 23:02:57.839 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2022-03-07 23:02:57.840 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2022-03-07 23:02:57.840 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2022-03-07 23:02:57.841 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2022-03-07 23:02:57.842 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2022-03-07 23:02:57.842 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
